"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"DC9_2012"	"Sharp"	"Western Canada"	"Canada"	0.9539209469	0.946311562	0.8898752906	0.0183893469
"DCm_2010"	"Sharp"	"Western Canada"	"Canada"	0.7667617689	0.7175463623	0.4029957204	0.1248216833
"DCm_2011"	"Sharp"	"Western Canada"	"Canada"	0.6774118197	0.6176127073	0.3714085494	0.0450829246
"DCm2_2011"	"Sharp"	"Western Canada"	"Canada"	0.6666666667	0.5816993464	0.3006535948	0.1307189542
"DCs6_2011"	"Sharp"	"Western Canada"	"Canada"	0.4494695701	0.4472361809	0.4299274149	0.3685092127
"DCsGBL_2011"	"Sharp"	"Western Canada"	"Canada"	0.584148728	0.4569471624	0.3143074581	0.07316808
"DHB015"	"Sharp"	"Western Canada"	"Canada"	0.444585066	0.3744350027	0.376242994	0.3409871633
"DWB015"	"Sharp"	"Western Canada"	"Canada"	0.593040116	0.5349444176	0.5246012566	0.5045915901
"E_Filter"	"Huo"	"Drum Beating Spring"	"China"	0.0173556707	0.0166325178	0.0150656864	0.0056646981
"E_Sediment"	"Huo"	"Drum Beating Spring"	"China"	0.0035993209	0.003327674	0.0031239389	0.0005432937
"E_Streamer"	"Huo"	"Drum Beating Spring"	"China"	0.0007752797	0.0007383616	0.0007383616	0.0002584266
"E_Streamer_B"	"Huo"	"Drum Beating Spring"	"China"	0.0022072421	0.0022072421	0.001849311	0.000298276
"F_Filter"	"Huo"	"Drum Beating Spring"	"China"	0.0261211281	0.0175681923	0.0173370319	0.0025427647
"F_Sediment"	"Huo"	"Drum Beating Spring"	"China"	0.026642984	0.0177619893	0.0118413262	0.0029603316
"FM4_2012"	"Sharp"	"Western Canada"	"Canada"	0.3467776355	0.2343149808	0.1848058045	0.0527102006
"FM6_2012"	"Sharp"	"Western Canada"	"Canada"	0.5031397174	0.3244897959	0.2285714286	0.0271585557
"FMs_2009"	"Sharp"	"Western Canada"	"Canada"	0.6265232975	0.5157706093	0.347311828	0.1326164875
"FMs2_2009"	"Sharp"	"Western Canada"	"Canada"	0.5979268958	0.4320785597	0.31533006	0.1126568467
"FZ1_2012"	"Sharp"	"Western Canada"	"Canada"	0.5794294294	0.5123123123	0.3354354354	0.1831831832
"FZ2_2012"	"Sharp"	"Western Canada"	"Canada"	0.3091736695	0.2386204482	0.1903011204	0.1274509804
"G_Filter"	"Huo"	"Drum Beating Spring"	"China"	0.0245535714	0.013764881	0.0126488095	0.001860119
"GD2_454"	"Anantharaman"	"Guaymas Bay"	"USA"	0.9996500363	0.9994865019	0.999358945	0.9993327795
"GH3_2011"	"Sharp"	"Western Canada"	"Canada"	0.4452242905	0.2969179127	0.0768996033	0.0402807446
"GL13_4"	"Wang"	"Gulu hot spring #13"	"Tibet"	0.3513513514	0.3243243243	0.3243243243	0.0540540541
"GL20"	"Wang"	"Gulu hot spring #20"	"Tibet"	0.0645539906	0.04342723	0.0399061033	0.0176056338
"GL21"	"Wang"	"Gulu hot spring #21"	"Tibet"	0.2023346304	0.1556420233	0.1011673152	0.0428015564
"GL28"	"Wang"	"Gulu hot spring #28"	"Tibet"	0.0142857143	0.0119047619	0.0119047619	0.0047619048
"GL3_4"	"Wang"	"Gulu hot spring #3"	"Tibet"	0.2371900826	0.1669421488	0.4289256198	0.0223140496
"GL9"	"Wang"	"Gulu hot spring #9"	"Tibet"	0.2134387352	0.1897233202	0.1037549407	0.0434782609
"GLh"	"Wang"	"Gulu soil sample (GLs)?"	"Tibet"	0.2277227723	0.1472772277	0.3972772277	0.021039604
"GS1_2012"	"Sharp"	"Western Canada"	"Canada"	0.9585798817	0.9556213018	0.9378698225	0.0650887574
